PTM_1,K4me1,K4un,R8un,R8me1,K9me2,K9ac,K9me3,K9un,K9me1,K14me3,K14me2,K14ac,K14un,K14me1,R17un,R17me2,R17me1,K18me1,K18un,K18ac,K23ac,K23me2,K23un,K23me3,R26un,R26me1,R26me2,K27un,K27ac,K27me2,K27me3,K27me1,K36me2,K36un,K36me1,K36me3
K14me2,,,,,,,,,,,,,,,0.016397901202856,,,,0.0089890120531755,,,,0.0064157256654807,,0.0143394565773219,,,,,,0.2880634503899825,,,0.2853162251651773,,
K14ac,,,,,,,,,,,,,,,0.0249627066391306,,,,0.0136840726189976,,,,0.0097667302469564,,-0.0680535553266598,,0.5242954776251499,0.1943579308615926,,0.0901167376975498,0.0881033994289208,,0.0065097391170402,0.0087094832637118,0.16532235076577,
K14un,,,,,,,,,,,,,,,-0.0841232528422494,0.0827169667411617,0.1626561338394409,-0.0633276659893583,-0.0036243389714589,0.1065023642954706,0.0986194757624926,0.1061109478322992,-0.0391892208785714,0.0869936079217176,-0.0426728625718472,0.1170309161041099,-0.0041568322145482,0.0450482392034621,0.1985938305703482,-0.3200683881764393,0.0166838591839568,0.2958579171172658,-0.3312257969004132,0.060593377952192,0.1909985153587666,0.2700370715809148
K14me1,,,,,,,,,,,,,,,0.0649805002447594,,-0.4021200385153923,0.1337924260591179,-0.005621483407289,,,,0.0275054962397568,,0.0503324062006019,-0.2389933597504907,,-0.1522494579676203,,0.4139305307107054,-0.0297944704669683,,0.5657201537296945,-0.2583834724973416,,
R17un,,,,,,,,,,,,,,,,,,-0.1423953896741548,0.1047437258789885,0.0210244339128127,0.0194682875295844,0.0209471651158544,-0.025384403520079,0.0171732465535986,-0.0089690041798491,-0.0052195030174,0.0232751871269102,-0.0071461621181985,0.0392040392148946,-0.0612071528214361,0.0092235220111924,0.0359912520732396,-0.0658331276015457,0.0099982466066747,0.0200807348504458,0.0533075167205831
R17me2,,,,,,,,,,,,,,,,,,,0.0089512432613327,,,,0.0063887689536923,,,0.5642402116371084,,,,0.1571456574616581,,,0.1573020285761711,,,
R17me1,,,,,,,,,,,,,,,,,,0.438617625345051,-0.0602563943275252,,,,0.0133762242886213,,0.029896507013573,,,0.0543858905639189,,0.1619201386543757,-0.0283106070312179,-0.1833735805524697,0.1752571097793661,-0.0317878112969378,-0.1035141772474368,
K18me1,,,,,,,,,,,,,,,,,,,,,,,0.0097656569817004,,0.0218267147848226,,,,,-0.1744759691866308,0.3638738760987793,,-0.0570769206464078,0.285056595209944,,
K18un,,,,,,,,,,,,,,,,,,,,,-0.0815716783509195,0.011482830477932,0.0354806369592816,0.0094140413674139,-0.0303124340959013,0.015864241996084,0.0127590070848378,0.0115603513243573,0.0214908954918251,0.0222741386282311,-0.0736398722396543,0.0320163600195222,-0.0027435492270884,-0.0308744789672733,0.0074343501830764,0.029222148883463
K18ac,,,,,,,,,,,,,,,,,,,,,0.5689313097187743,,-0.0600972336008127,,0.0183852160972311,,,,,-0.0027730980640306,0.2069683357455046,,0.1024141135838847,,0.1365651174586189,
K23ac,,,,,,,,,,,,,,,,,,,,,,,,,-0.037372900793771,0.2524261328145629,,,0.3599954969557924,,0.0932114786237025,,-0.0326116241460285,0.0023649428899774,0.1879519180420956,
K23me2,,,,,,,,,,,,,,,,,,,,,,,,,0.0183176469281613,,,,,,0.3679807912314257,,,0.3644714042871739,,
K23un,,,,,,,,,,,,,,,,,,,,,,,,,0.0010650197981643,-0.0062212218989504,0.0091064834195352,0.0082509670979306,-0.0155624916799375,0.0227336045532001,-0.038138188717098,0.022851029843703,0.0287991246720613,-0.0516749041497779,0.001166735648563,0.0208567181224218
K23me3,,,,,,,,,,,,,,,,,,,,,,,,,0.0150174720655154,,,,,0.1652704185176221,,,,0.2988068911922866,,
R26un,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.045787878349493,0.0233049968376395,0.0369568533108145,-0.0254456906598307,-0.0234213551272293,0.0601585646516866,-0.074665769073686,-0.0322419945639562,0.0393803615657329
R26me1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1662940874229479,-0.1244968506196342,-0.1910865417654371,0.0223931109257515,0.2084162544892231,-0.1909111977443978,0.1342595157225587,0.2507287670910142,-0.2414709232772716
R26me2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2340127238781045,,-0.0107156697323894,0.197173949195502,,-0.281880308189472,0.3775393077081877,,
K27un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.122396301376387,,,0.3177049314057994
K27ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3745580405442197,0.8294036985074148,
K27me2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7206405258732175,-0.188313790533215,,
K27me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2491440952792293,0.6494445113806256,-0.1748412097024735,
K27me1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5107977735908455,-0.4515900472678201,-0.0394022934472544,0.837390390264432
K36me2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K36un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K36me1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K36me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
